escalation_level,age,tenure_months,loyalty_status,segment,region,industry,channel,issue_category,issue_subtype,product_line,device_type,time_of_day_bucket,wait_time_seconds,previous_interactions_30d,resolution_time_minutes,agent_experience_years,first_contact_resolution,number_of_transfers,SLA_breaches_last_6m,lifetime_tickets,average_response_delay,sentiment_score,monthly_fee,subscription_value_str,churn_risk_band,priority_flag,behaviour_score_1,behaviour_score_2,behaviour_score_3,behaviour_score_4,behaviour_score_5,ops_telemetry_kpi_1,ops_telemetry_kpi_2,ops_telemetry_kpi_3,ops_telemetry_kpi_4,ops_telemetry_kpi_5,post_interaction_quality_score,risk_indicator,service_pressure_score,customer_engagement_score
Minor escalation,48.0,6,Bronze,Retail,London,Retail,Chat,Technical,Wrong item,Enterprise,Mobile,Evening,132,0,3,4.7,Yes,1,0,14,2.11,-0.104831381,38.85,311.63,Low,No,70.7,55.4,61.2,55.0,77.6,1.9506,-2.1015,2.29,-0.7746,0.3421,3.717381893,10.178288069817114,10.828584854392364,2.9006754274086535
Minor escalation,51.0,88,Silver,Business,London,Retail,Chat,Billing,Locked account,Standard,Call-Centre,Afternoon,226,1,34,5.4,Yes,0,1,3,2.07,1.380707741,45.1,406.49,Low,Yes,58.1,44.7,72.1,72.2,29.4,-0.0373,-0.8993,-0.4577,0.8063,1.6783,2.652304191,21.046597784666204,12.268581281416475,3.4449567291947454
No escalation,37.0,57,Bronze,Enterprise,South East,Finance,Phone,Technical,Wrong item,Standard,Desktop,Morning,131,0,74,3.5,No,1,0,8,3.95,1.126540001,30.77,265.49,Medium,No,52.3,50.6,68.2,48.7,57.2,0.4895,-2.0949,-0.3973,0.9466,-0.4699,-0.324790092,2.715562055738449,5.1936103729815635,0.0
Minor escalation,58.0,42,Bronze,Retail,London,Retail,Chat,Returns,Locked account,Basic,Web,Evening,140,1,21,3.5,Yes,1,1,15,3.43,-0.788818014,62.03,"1,071.00",Low,No,59.8,61.4,13.0,41.3,15.6,2.4532,-1.1891,2.1377,-0.6479,0.46,2.917797476,11.196685398480044,10.284027851231478,8.371618756686164
Minor escalation,49.0,6,Gold,Retail,Wales,Retail,Chat,Orders,Other,Basic,Web,Evening,185,0,45,0.6,Yes,0,0,13,3.38,0.083542049,49.83,575.55,Medium,No,37.7,16.8,35.7,52.5,36.4,-0.4479,-0.5504,0.1264,0.2237,-0.2996,3.29965578,15.550453754982467,10.653395447015582,3.9357387004401208
No escalation,39.0,23,Gold,Retail,Scotland,Hospitality,Phone,Billing,Wrong item,Basic,Desktop,Evening,83,2,25,0.7,No,2,0,18,0.59,0.148263484,52.33,216.95,Low,No,53.3,48.2,71.1,52.0,44.4,-0.4678,0.4647,-0.2299,0.4728,-0.4243,1.152060131,0.707874096852269,3.9998968066495837,3.503742802619641
Minor escalation,36.0,61,Bronze,Student,London,Tech,Chat,Returns,Slow internet,Basic,Mobile,Morning,141,0,36,5.2,Yes,0,1,10,1.1,-1.936590203,33.45,684.99,High,No,33.8,61.5,53.8,55.9,53.5,-0.1196,-0.0852,-0.7257,0.9879,1.2755,3.248027047,5.95626170759187,10.157562832622972,7.945764865248586
Minor escalation,45.0,10,Bronze,Business,South East,Finance,Phone,Other,Invoice error,Premium,Mobile,Afternoon,244,1,48,2.6,Yes,0,0,15,1.5,-0.768939225,26.91,388.02,Low,Yes,29.7,46.8,45.4,48.7,64.6,-0.0239,0.5534,0.9338,-0.224,-2.8014,1.708010764,17.990766719241467,13.718723227205135,8.633692359440449
No escalation,41.0,52,Silver,Business,North West,Retail,Phone,Returns,Damaged item,Basic,Call-Centre,Afternoon,193,1,8,3.5,Yes,0,0,3,3.31,,41.58,708.41,Low,No,31.4,43.6,70.7,27.4,52.3,-0.0211,0.8811,-1.4814,-0.6108,-0.7178,0.243675751,1.3729599346144825,6.2605246618690185,
Serious escalation,18.0,4,Bronze,Business,North West,Finance,Phone,Technical,Refund status,Basic,Call-Centre,Evening,138,0,61,2.0,Yes,0,0,10,2.87,1.343904096,19.41,309.46,Low,Yes,53.0,30.5,47.7,77.3,22.7,-0.9412,-0.8081,-1.7312,1.7162,0.074,5.654192226,30.068890079506502,16.233397203625728,4.469490417172192
